PLAYER;TEAM;DIV;POS;BORN;GP;MP;PT;RB;AS;ST;BS;TO;PF;EF;PER;PIE
Dusan Nikolic;Eintracht Frankfurt;A;Wing;2005;2;32.9;24.5;6.5;2.5;2.0;0.0;3.0;3.0;24.0;45.1;24.6
Ivan Kharchenkov;FC Bayern München;A;Wing;2006;5;25.5;23.6;6.2;4.0;1.8;1.6;3.0;1.6;22.8;50.4;18.2
Benjamin Koppke;Niners Chemnitz Academy;A;Big;2005;2;28.4;21.0;9.0;0.5;0.0;1.0;1.0;2.5;23.0;42.3;13.7
Tom Brüggemann;Baskets Paderborn;A;Point;2007;3;36.2;20.3;5.3;6.7;2.7;0.0;3.7;2.3;19.3;26.9;16.5
Jonathan Paul Zeisberger;KICKZ IBAM;A;Point;2006;4;32.4;19.8;2.8;2.5;0.8;0.0;2.3;2.5;12.5;29.3;11.3
Raphael Falkenthal;Medipolis SC Jena;A;Combo;2005;2;26.1;19.5;4.0;3.5;1.0;0.0;3.5;3.0;19.5;39.5;16.7
Jack Kayil;Young Rasta Dragons;A;Point;2006;7;30.6;18.7;5.9;5.3;4.1;0.1;2.6;2.1;22.6;40.9;21.4
Oskar Humpert;UBC Münster;A;Forward;2005;3;27.3;18.3;5.3;2.0;1.0;1.0;2.7;4.0;17.0;30.8;12.8
Matija Milosevic;KICKZ IBAM;A;Wing;2005;4;28.2;17.8;4.8;1.8;1.0;0.5;1.3;2.8;15.8;34.6;14.3
Luca Kellig;Niners Chemnitz Academy;A;Wing;2006;2;28.1;17.5;4.5;1.0;2.0;0.0;7.0;3.0;7.5;14.7;2.9
Leon Anbinder;Baskets Paderborn;A;Point;2005;3;32.4;17.3;2.7;2.0;6.3;0.0;4.7;3.3;14.3;25.1;10.8
Jakob Lang;Medipolis SC Jena;A;Forward;2005;3;30.2;17.3;7.3;0.7;0.0;0.0;3.3;2.3;16.3;25.1;14.0
Travis Davis;Porsche BBA Ludwigsburg;A;Point;2006;3;29.0;17.3;3.0;5.0;1.7;0.0;6.3;1.3;9.0;18.3;7.3
Igor Jokic;Baskets Juniors Oldenburg;A;Wing;2005;8;22.9;17.3;3.0;1.3;1.0;0.0;2.5;3.0;12.6;33.4;13.0
Simon Feneberg;Tornados Franken;A;Combo;2005;3;35.6;17.0;7.0;7.7;2.7;0.3;8.0;2.7;16.3;18.9;13.5
Thore Dilschmann;UBC Münster;A;Wing;2006;3;33.7;16.7;6.0;3.0;1.0;0.7;2.0;2.7;13.3;21.4;10.6
Linus Ruf;Alba Berlin;A;Big;2005;5;22.2;16.4;8.6;1.6;1.0;0.4;3.0;2.0;16.2;35.0;13.8
Jermaine Fleck;Berlin Braves Baskets;A;Combo;2005;2;29.1;16.0;1.0;2.5;1.0;0.5;4.5;2.0;9.0;22.2;6.0
Jorke Aav;Team Urspring;A;Wing;2005;4;33.5;15.3;4.3;3.3;1.0;0.5;4.3;2.5;11.8;18.8;8.6
Philip Schneck;Team Urspring;A;Point;2005;1;24.5;15.0;5.0;6.0;3.0;0.0;1.0;2.0;25.0;55.7;22.3
Lukas Modic;Porsche BBA Ludwigsburg;A;Wing;2005;1;29.0;15.0;9.0;1.0;8.0;0.0;1.0;1.0;23.0;45.6;22.9
Esli Edigin;Porsche BBA Ludwigsburg;A;Wing;2005;5;30.1;14.6;5.6;3.0;1.4;0.6;4.0;3.0;14.0;21.7;9.7
Joscha Eckert;Tornados Franken;A;Combo;2005;3;32.0;14.0;6.7;3.7;3.7;0.0;3.0;3.3;14.7;21.8;10.6
Jared Grey;Team Urspring;A;Forward;2005;4;31.9;14.0;7.0;3.5;2.3;1.0;3.3;2.3;14.8;24.5;10.5
Felix Zacharias;Niners Chemnitz Academy;A;Point;2005;1;19.0;14.0;0.0;2.0;1.0;0.0;1.0;4.0;11.0;39.0;4.6
Joshua Bonga;Young Rasta Dragons;A;Combo;2005;6;24.1;14.0;4.2;2.5;1.3;0.0;3.3;2.3;12.0;27.6;9.3
Marko Masic;Porsche BBA Ludwigsburg;A;Wing;2005;5;27.6;13.8;2.8;1.6;1.0;0.2;1.4;3.4;10.6;20.7;6.8
Janis Jünemann;Sartorius Juniors;A;Forward;2005;3;29.7;13.3;6.7;2.7;1.3;1.0;6.0;2.7;12.0;21.1;9.6
Pablo Schmidt;Tornados Franken;A;Big;2005;3;23.0;13.3;10.0;0.7;0.7;0.3;2.7;3.0;14.3;27.2;8.8
Johann Grünloh;Young Rasta Dragons;A;Big;2005;3;25.0;13.3;10.7;2.0;0.3;4.3;1.7;3.3;24.3;45.4;18.8
Karl Bühner;Young Rasta Dragons;A;Forward;2005;8;29.9;13.0;8.5;1.3;2.8;1.8;2.4;2.5;16.9;27.6;12.6
Ivan Crnjac;Eintracht Frankfurt;A;Forward;2007;2;34.2;13.0;5.0;1.0;1.0;0.5;2.5;2.5;7.5;14.7;4.8
Ivan Volf;FC Bayern München;A;Wing;2006;5;26.8;12.4;3.4;0.8;0.8;0.4;1.0;2.4;8.4;19.2;4.7
Linus Trettin;Young Rasta Dragons;A;Wing;2005;6;22.2;12.3;5.2;2.3;1.2;0.2;2.8;2.2;13.0;30.9;10.6
Lennard Glowka;Niners Chemnitz Academy;A;Point;2006;2;28.5;12.0;2.0;4.5;1.0;0.5;4.0;2.0;7.0;16.2;3.4
Emanuel Mpacko;Berlin Braves Baskets;A;Point;2005;3;25.3;11.7;3.7;3.7;2.7;0.3;2.7;2.0;13.3;27.8;10.2
Martin Kalu;FC Bayern München;A;Combo;2005;5;22.9;11.6;3.4;1.6;1.2;0.4;1.2;3.8;7.6;19.5;2.8
Calin Nita;Bayer Giants Leverkusen;A;Point;2005;6;28.0;11.5;3.5;4.5;2.5;0.2;2.7;2.8;12.0;23.2;12.1
Leonhard Laar;Team Urspring;A;Forward;2006;4;25.5;11.5;2.8;0.3;0.5;0.3;1.5;2.0;8.8;20.4;5.7
Leif Zentgraf;Eintracht Frankfurt;A;Wing;2005;2;34.6;11.5;3.0;1.0;0.5;0.0;3.5;2.5;4.0;11.0;0.6
David Koch;Bayer Giants Leverkusen;A;Wing;2005;6;26.9;11.5;3.0;0.3;1.0;0.0;2.2;1.0;6.2;15.4;6.3
Paul Viefhues;UBC Münster;A;Combo;2005;2;34.6;11.5;2.5;2.5;1.5;2.0;4.5;2.0;7.0;9.8;4.1
Johann Grau;Medipolis SC Jena;A;Forward;2007;3;32.0;11.3;7.3;1.7;1.0;0.0;1.3;2.0;14.7;21.9;11.4
Viktor Ludviksson;UBC Münster;A;Forward;2006;3;30.9;11.3;7.3;2.3;2.0;0.7;3.3;2.7;14.0;19.1;11.3
Colin Schroeder;Baskets Juniors Oldenburg;A;Forward;2006;6;21.2;11.2;4.2;0.3;1.0;0.2;2.0;3.7;9.7;23.1;8.3
Leon Amadou Geißler;Team Urspring;A;Big;2006;4;25.6;11.0;7.5;1.3;0.8;1.5;2.8;3.0;14.0;25.8;8.7
Amon Levi Dörries;Alba Berlin;A;Wing;2006;6;23.6;10.7;4.7;1.5;1.8;0.2;3.0;2.0;10.7;20.5;8.7
Tim Nocke;Baskets Juniors Oldenburg;A;Forward;2005;8;26.1;10.5;6.4;1.8;0.8;0.8;3.5;2.6;10.6;18.7;8.5
Jasper Brand;Sartorius Juniors;A;Forward;2005;3;23.2;10.3;2.0;0.7;0.0;0.7;1.7;3.7;9.0;20.0;6.1
Jenö Pildner;Team Urspring;A;Wing;2006;4;26.9;10.3;4.8;1.8;3.0;0.5;1.3;2.8;13.5;26.8;9.2
Silver Bieling;KICKZ IBAM;A;Wing;2005;4;13.5;10.3;2.5;1.0;0.0;0.3;1.8;0.5;8.5;38.8;8.7
Andrej Milutinovic;Berlin Braves Baskets;A;Forward;2006;3;19.4;10.0;3.0;1.0;1.3;0.3;1.7;3.0;12.0;31.5;7.6
Nevio Bennefeld;Alba Berlin;A;Big;2007;6;23.6;9.8;6.0;1.0;1.0;1.0;2.5;3.0;13.5;21.8;10.1
Simon Kohlhoff;Baskets Juniors Oldenburg;A;Combo;2006;7;33.5;9.7;4.1;4.1;2.3;1.6;2.7;2.1;12.6;19.4;13.5
Abdulhay Kömürkara;Porsche BBA Ludwigsburg;A;Wing;2005;5;23.2;9.6;4.2;1.4;1.6;0.0;2.0;0.8;9.0;20.7;7.4
Lars Kremer;Bayer Giants Leverkusen;A;Combo;2006;6;22.5;9.5;3.5;3.2;1.8;0.3;3.8;3.0;9.2;20.2;7.2
Desmond Yiamu;FC Bayern München;A;Forward;2006;5;20.2;9.4;7.8;2.0;1.6;0.2;1.2;2.8;18.0;39.8;12.0
Gaston Nguyen Manh;Sartorius Juniors;A;Point;2008;3;31.6;9.3;1.7;2.3;1.7;0.0;3.3;1.0;3.7;9.4;2.9
Miran Evin;Baskets Juniors Oldenburg;A;Wing;2006;7;28.1;9.1;5.9;2.9;1.7;0.3;3.1;3.6;11.0;17.1;8.2
Jannis Ridder;Baskets Paderborn;A;Forward;2005;3;30.4;9.0;5.7;1.7;3.0;1.3;2.7;4.3;9.0;13.5;3.6
Noah Slingerland;Baskets Juniors Oldenburg;A;Wing;2005;8;23.1;9.0;3.9;1.4;1.4;0.4;3.0;3.4;8.9;17.7;6.5
Edin Redzepovic;Sartorius Juniors;A;Wing;2007;3;28.8;9.0;5.7;1.7;2.0;0.0;4.3;2.3;9.0;15.9;7.1
Nikolas Sermpezis;FC Bayern München;A;Forward;2007;5;18.7;8.8;5.0;0.6;0.2;0.0;0.6;3.4;9.6;24.2;4.5
Sebastian Schwachhofer;Porsche BBA Ludwigsburg;A;Forward;2005;5;25.0;8.8;5.8;1.4;2.6;0.4;1.4;3.6;11.2;21.6;6.3
Mathéo Hermann;Alba Berlin;A;Combo;2007;4;19.6;8.8;2.3;1.0;1.5;0.0;1.8;2.0;7.3;18.7;6.5
Julijo Kendes;Team Urspring;A;Wing;2006;4;21.0;8.8;1.5;1.0;0.0;0.0;0.8;1.0;7.3;20.7;5.8
Hendrik Metsa;Medipolis SC Jena;A;Point;2007;3;23.7;8.7;1.7;2.0;1.0;0.0;3.3;1.7;4.7;11.3;2.6
Julis Baumer;Porsche BBA Ludwigsburg;A;Combo;2007;5;29.6;8.6;4.0;4.8;1.2;0.8;3.4;2.8;12.0;17.6;8.1
Tim Otto;Medipolis SC Jena;A;Big;2005;2;20.4;8.5;3.0;2.0;0.5;0.5;0.5;3.5;12.0;28.9;7.7
Joel Mbappou;Berlin Braves Baskets;A;Big;2005;3;17.4;8.3;5.0;1.3;0.3;1.3;1.7;1.3;9.0;25.0;6.0
Jeremy Julian Kolev;KICKZ IBAM;A;Wing;2005;4;28.3;8.3;3.0;0.5;2.0;0.5;2.3;3.3;5.8;12.6;2.1
Clemens Sokolov;Tornados Franken;A;Forward;2007;3;21.3;8.0;3.7;1.3;0.7;0.3;3.0;3.3;7.7;14.7;3.0
Jeremey Jason Wontroba;Bayer Giants Leverkusen;A;Forward;2005;6;15.3;7.8;3.5;0.3;1.2;0.3;1.5;1.5;5.0;19.9;3.7
Ben-Luca Port;Baskets Paderborn;A;Forward;2005;3;23.8;7.7;5.0;1.3;0.3;0.0;2.3;3.3;7.0;9.9;3.3
Emil Bode;Sartorius Juniors;A;Wing;2006;3;20.5;7.7;2.0;0.3;1.3;0.0;1.3;4.0;6.3;17.3;2.5
Ben Lenhardt;Berlin Braves Baskets;A;Wing;2006;3;25.1;7.7;4.3;2.0;1.7;0.0;4.3;1.3;6.3;10.5;4.8
Marko Petric;Young Rasta Dragons;A;Forward;2008;7;24.2;7.6;4.0;0.6;0.3;0.0;1.9;2.9;5.9;10.5;2.4
Olisaemeka Williams Itumo;KICKZ IBAM;A;Big;2007;2;19.8;7.5;7.5;0.0;0.0;1.0;3.0;1.5;10.5;25.0;8.1
Luka Pesic;FC Bayern München;A;Wing;2005;5;19.1;7.2;6.2;2.4;1.4;0.0;1.4;2.2;12.8;29.6;8.5
Joshua William Greene;FC Bayern München;A;Point;2006;1;18.7;7.0;1.0;2.0;1.0;0.0;1.0;2.0;6.0;17.4;3.2
Dorian Grosber;Alba Berlin;A;Combo;2006;3;20.5;7.0;4.7;3.0;1.0;0.0;2.7;1.7;9.3;18.9;8.0
Dre Odeh;Bayer Giants Leverkusen;A;Forward;2005;5;19.3;7.0;3.6;1.6;0.4;0.6;2.2;2.8;5.2;11.7;2.2
Daniel Hinkov;Porsche BBA Ludwigsburg;A;Forward;2007;1;12.4;7.0;4.0;1.0;0.0;0.0;1.0;1.0;7.0;29.1;4.3
Paul Bahn;Alba Berlin;A;Combo;2006;6;20.7;6.8;1.5;0.3;1.7;0.0;2.2;1.0;2.2;8.0;1.0
Ruomi Walter;Berlin Braves Baskets;A;Combo;2006;3;15.2;6.7;1.0;1.0;1.3;0.3;2.7;1.3;6.0;19.8;4.4
Tobias Drochner;Tornados Franken;A;Forward;2005;3;27.9;6.7;4.3;1.0;1.7;0.7;0.7;2.3;10.3;16.1;6.7
Maximilian zur Linde;Baskets Paderborn;A;Wing;2006;3;26.1;6.7;2.0;0.7;1.7;0.3;0.3;2.7;3.7;8.4;0.7
