PLAYER;TEAM;DIV;POS;BORN;GP;MP;PT;RB;AS;ST;BS;TO;PF;EF;DD;TD
Igor Jokic;Baskets Juniors Oldenburg;A;Wing;2005;8;182.9;138;24;10;8;0;20;24;101;0;0
Jack Kayil;Young Rasta Dragons;A;Point;2006;7;213.9;131;41;37;29;1;18;15;158;0;0
Ivan Kharchenkov;FC Bayern München;A;Wing;2006;5;127.4;118;31;20;9;8;15;8;114;0;0
Karl Bühner;Young Rasta Dragons;A;Forward;2005;8;239.0;104;68;10;22;14;19;20;135;3;0
Joshua Bonga;Young Rasta Dragons;A;Combo;2005;6;144.3;84;25;15;8;0;20;14;72;0;0
Tim Nocke;Baskets Juniors Oldenburg;A;Forward;2005;8;208.8;84;51;14;6;6;28;21;85;0;0
Linus Ruf;Alba Berlin;A;Big;2005;5;111.2;82;43;8;5;2;15;10;81;1;0
Jonathan Paul Zeisberger;KICKZ IBAM;A;Point;2006;4;129.7;79;11;10;3;0;9;10;50;0;0
Linus Trettin;Young Rasta Dragons;A;Wing;2005;6;132.9;74;31;14;7;1;17;13;78;0;0
Esli Edigin;Porsche BBA Ludwigsburg;A;Wing;2005;5;150.3;73;28;15;7;3;20;15;70;1;0
Noah Slingerland;Baskets Juniors Oldenburg;A;Wing;2005;8;185.1;72;31;11;11;3;24;27;71;0;0
Matija Milosevic;KICKZ IBAM;A;Wing;2005;4;112.9;71;19;7;4;2;5;11;63;1;0
Marko Masic;Porsche BBA Ludwigsburg;A;Wing;2005;5;138.1;69;14;8;5;1;7;17;53;0;0
David Koch;Bayer Giants Leverkusen;A;Wing;2005;6;161.3;69;18;2;6;0;13;6;37;0;0
Calin Nita;Bayer Giants Leverkusen;A;Point;2005;6;167.7;69;21;27;15;1;16;17;72;0;0
Simon Kohlhoff;Baskets Juniors Oldenburg;A;Combo;2006;7;234.2;68;29;29;16;11;19;15;88;0;0
Colin Schroeder;Baskets Juniors Oldenburg;A;Forward;2006;6;127.3;67;25;2;6;1;12;22;58;0;0
Miran Evin;Baskets Juniors Oldenburg;A;Wing;2006;7;197.0;64;41;20;12;2;22;25;77;0;0
Amon Levi Dörries;Alba Berlin;A;Wing;2006;6;141.4;64;28;9;11;1;18;12;64;1;0
Ivan Volf;FC Bayern München;A;Wing;2006;5;133.9;62;17;4;4;2;5;12;42;0;0
Tom Brüggemann;Baskets Paderborn;A;Point;2007;3;108.7;61;16;20;8;0;11;7;58;0;0
Jorke Aav;Team Urspring;A;Wing;2005;4;133.9;61;17;13;4;2;17;10;47;0;0
Nevio Bennefeld;Alba Berlin;A;Big;2007;6;141.4;59;36;6;6;6;15;18;81;1;0
Martin Kalu;FC Bayern München;A;Combo;2005;5;114.3;58;17;8;6;2;6;19;38;0;0
Lars Kremer;Bayer Giants Leverkusen;A;Combo;2006;6;135.2;57;21;19;11;2;23;18;55;0;0
Jared Grey;Team Urspring;A;Forward;2005;4;127.5;56;28;14;9;4;13;9;59;0;0
Oskar Humpert;UBC Münster;A;Forward;2005;3;81.9;55;16;6;3;3;8;12;51;1;0
Marko Petric;Young Rasta Dragons;A;Forward;2008;7;169.2;53;28;4;2;0;13;20;41;0;0
Noah Koch;Young Rasta Dragons;A;Wing;2007;8;159.6;52;35;10;11;1;13;12;58;0;0
Jakob Lang;Medipolis SC Jena;A;Forward;2005;3;90.5;52;22;2;0;0;10;7;49;0;0
Travis Davis;Porsche BBA Ludwigsburg;A;Point;2006;3;86.9;52;9;15;5;0;19;4;27;0;0
Leon Anbinder;Baskets Paderborn;A;Point;2005;3;97.2;52;8;6;19;0;14;10;43;1;0
Simon Feneberg;Tornados Franken;A;Combo;2005;3;106.9;51;21;23;8;1;24;8;49;1;0
Thore Dilschmann;UBC Münster;A;Wing;2006;3;101.0;50;18;9;3;2;6;8;40;0;0
Johann Helwig;Baskets Juniors Oldenburg;A;Wing;2006;8;192.3;49;19;8;11;6;16;27;46;0;0
Dusan Nikolic;Eintracht Frankfurt;A;Wing;2005;2;65.7;49;13;5;4;0;6;6;48;0;0
Abdulhay Kömürkara;Porsche BBA Ludwigsburg;A;Wing;2005;5;116.0;48;21;7;8;0;10;4;45;0;0
Jeremey Jason Wontroba;Bayer Giants Leverkusen;A;Forward;2005;6;91.5;47;21;2;7;2;9;9;30;0;0
Desmond Yiamu;FC Bayern München;A;Forward;2006;5;100.9;47;39;10;8;1;6;14;90;0;0
Leonhard Laar;Team Urspring;A;Forward;2006;4;101.8;46;11;1;2;1;6;8;35;0;0
Sebastian Schwachhofer;Porsche BBA Ludwigsburg;A;Forward;2005;5;124.9;44;29;7;13;2;7;18;56;1;0
Nikolas Sermpezis;FC Bayern München;A;Forward;2007;5;93.5;44;25;3;1;0;3;17;48;0;0
Leon Amadou Geißler;Team Urspring;A;Big;2006;4;102.3;44;30;5;3;6;11;12;56;2;0
Julis Baumer;Porsche BBA Ludwigsburg;A;Combo;2007;5;148.2;43;20;24;6;4;17;14;60;0;0
Jarne Jürgens;Young Rasta Dragons;A;Forward;2005;8;136.3;42;32;4;4;2;9;19;58;0;0
Joscha Eckert;Tornados Franken;A;Combo;2005;3;96.0;42;20;11;11;0;9;10;44;0;0
Benjamin Koppke;Niners Chemnitz Academy;A;Big;2005;2;56.7;42;18;1;0;2;2;5;46;0;0
Silver Bieling;KICKZ IBAM;A;Wing;2005;4;54.1;41;10;4;0;1;7;2;34;0;0
Paul Bahn;Alba Berlin;A;Combo;2006;6;124.5;41;9;2;10;0;13;6;13;0;0
Jenö Pildner;Team Urspring;A;Wing;2006;4;107.7;41;19;7;12;2;5;11;54;0;0
Pablo Schmidt;Tornados Franken;A;Big;2005;3;68.9;40;30;2;2;1;8;9;43;2;0
