PLAYER;TEAM;DIV;POS;BORN;GP;MP;ORTG;DRTG;NRTG;OBPM;DBPM;BPM;VORP;OWS;DWS;WS;WS/40;PER
Janis Jünemann;Sartorius Juniors;B;Big;2005;11;281.7;126.6;73.8;52.8;10.3;1.5;11.8;8.2;3.0;1.3;4.3;0.61;60.1
Hannes Steinbach;Würzburg Baskets Akademie;B;Big;2006;10;326.1;117.2;88.9;28.2;8.5;1.9;10.4;8.0;3.3;0.5;3.8;0.47;57.9
Romario Holloway;SG Junior Löwen Braunschweig;B;Big;2005;8;245.0;141.4;87.3;54.1;8.2;0.6;8.9;5.9;2.6;0.7;3.3;0.53;55.5
Nikola Tomic;SG Junior Löwen Braunschweig;B;Forward;2005;9;312.7;109.9;86.5;23.3;10.0;1.3;11.3;8.3;2.5;0.8;3.3;0.42;54.3
Rémi Völkers;Team Bonn/Rhöndorf;B;Point;2008;1;12.8;107.2;30.9;76.3;-3.4;1.5;-1.9;0.6;0.1;0.1;0.2;0.63;53.9
Djibril Jeremias Claus;Sartorius Juniors;B;Forward;2006;2;15.0;119.6;87.2;32.4;-3.5;-0.8;-4.3;0.0;0.1;0.0;0.1;0.32;51.1
Matija Milosevic;KICKZ IBAM;A;Combo;2005;13;377.9;128.7;96.6;32.1;10.7;2.3;13.0;10.7;3.2;0.8;4.0;0.42;50.7
Dante Aruna;USC Heidelberg;B;Forward;2006;1;4.7;116.6;100.0;16.6;-4.9;-0.5;-5.4;-0.2;0.1;0.0;0.1;0.57;50.5
Jan Alexander Matern;Hamburg Towers;A;Point;2007;3;9.6;175.3;120.7;54.6;-4.5;-0.5;-5.0;-0.2;0.1;0.0;0.1;0.44;49.4
Jack Kayil;Young Rasta Dragons;A;Point;2006;5;116.3;120.7;88.1;32.6;1.5;1.8;3.3;2.2;0.8;0.4;1.3;0.44;48.7
Tin Udovicic;KICKZ IBAM;A;Point;2005;3;93.6;141.7;86.8;54.9;3.8;3.1;6.9;3.5;0.8;0.4;1.2;0.50;48.4
Janne Lasse Müller;Team Bonn/Rhöndorf;B;Wing;2006;8;222.3;119.1;85.5;33.6;7.2;0.4;7.6;5.1;2.1;0.5;2.6;0.47;48.0
Erwin Ludwig;Dresden Titans;B;Combo;2008;1;7.8;37.8;74.2;-36.4;-5.0;0.4;-4.6;-0.1;-0.1;0.0;0.0;-0.14;47.6
Igor Jokic;Baskets Juniors Oldenburg;A;Combo;2005;7;141.3;122.1;92.5;29.6;1.6;-0.2;1.4;1.6;1.1;0.3;1.4;0.39;46.6
Sebastian Schwachhofer;Porsche BBA Ludwigsburg;A;Forward;2005;9;207.0;128.6;83.9;44.6;4.2;1.9;6.2;4.2;1.4;0.7;2.2;0.42;46.3
Tom Stoiber;Tornados Franken;B;Forward;2006;9;253.0;139.5;90.8;48.8;7.6;0.4;8.0;5.5;2.5;0.4;3.0;0.47;46.2
Husein Petlaca;BBA Giants Kornwestheim;B;Forward;2006;5;75.3;132.6;90.8;41.8;-2.1;-0.5;-2.6;0.1;0.6;0.2;0.8;0.40;46.1
Luca Max Sarnowska;ratiopharm Ulm;B;Wing;2006;9;236.1;124.2;86.3;37.9;7.6;-1.8;5.8;4.2;2.1;0.6;2.7;0.47;45.7
Ole Schiffer;RheinStars Köln;B;Combo;2007;4;36.6;148.2;90.7;57.6;-2.4;-0.2;-2.5;0.3;0.3;0.1;0.4;0.42;45.2
#8Bonn;Team Bonn/Rhöndorf;B;Forward;1900;1;23.6;111.8;82.8;29.0;-2.4;1.1;-1.3;0.7;0.1;0.1;0.2;0.33;45.0
Henning Gustrau;Metropol Baskets Ruhr;B;Big;2005;8;175.3;123.0;88.3;34.7;3.8;-0.9;2.9;2.4;1.5;0.3;1.8;0.40;44.2
#12Düsseldorf;ART Giants Düsseldorf;B;Combo;1900;1;10.3;170.4;104.8;65.6;-4.2;0.7;-3.5;0.2;0.1;0.0;0.1;0.35;43.9
Louis Jakob Sutor;ROTH Energie BBA GIESSEN 46ers;A;Forward;2008;1;22.2;171.6;126.6;45.0;-3.2;0.7;-2.5;0.3;0.2;0.0;0.2;0.36;43.7
Linus Ruf;Alba Berlin;A;Big;2005;6;130.6;112.9;82.0;30.8;2.3;-0.4;1.9;1.7;0.7;0.5;1.2;0.37;42.9
Desmond Yiamu;FC Bayern München;A;Big;2006;11;244.5;133.0;93.2;39.8;2.6;0.4;3.1;2.8;1.7;0.5;2.1;0.35;42.1
Paul Viefhues;UBC Münster;A;Combo;2005;2;39.1;107.6;78.2;29.4;-2.2;-0.3;-2.5;0.2;0.2;0.2;0.3;0.35;41.6
Tom Wübben;Baskets Paderborn;A;Forward;2005;3;26.4;147.6;98.7;48.9;-2.9;-0.2;-3.1;0.2;0.2;0.0;0.2;0.31;41.6
Ivan Kharchenkov;FC Bayern München;A;Wing;2006;1;32.5;90.9;84.5;6.4;-2.3;0.7;-1.6;0.5;0.0;0.1;0.1;0.17;40.9
Stefan Bogdan;ART Giants Düsseldorf;B;Forward;2005;5;130.0;115.4;108.2;7.2;0.4;1.2;1.6;1.5;0.8;-0.1;0.7;0.22;40.8
Ludwig Hassler;Dresden Titans;B;Forward;2005;3;89.7;111.5;97.5;14.0;0.8;1.7;2.4;1.8;0.4;0.1;0.5;0.24;40.4
Endurance Aiyamenkhue;Orange Academy;B;Big;2007;9;225.3;110.1;81.3;28.8;3.4;1.8;5.2;3.8;0.8;0.9;1.7;0.31;39.9
Danas Kazakevicius;Bamberg freakcity academy;A;Forward;2005;10;331.3;117.9;108.9;9.0;3.4;1.0;4.4;4.1;1.9;-0.1;1.8;0.22;39.4
Luca Kellig;Niners Chemnitz Academy;A;Wing;2006;13;394.8;123.0;114.9;8.0;4.1;-0.7;3.5;4.0;2.6;-0.3;2.3;0.24;39.1
Simon Feneberg;Tornados Franken;B;Combo;2005;12;379.6;107.7;85.3;22.5;8.3;1.6;9.9;8.4;2.2;1.0;3.1;0.33;39.0
