PLAYER;TEAM;DIV;POS;ROLE;BORN;GP;MP;EFG%;TOV%;ORB%;FT-RATE;EF;EF/Gm;PER;WS;WS/40
Janis Jünemann;Sartorius Juniors;B;Big;Pure Creator;2005;11;281.7;56.3;11.9;21.4;42.8;325;29.5;60.1;4.3;0.61
Hannes Steinbach;Würzburg Baskets Akademie;B;Big;Pure Creator;2006;10;326.1;65.4;19.6;19.7;37.9;370;37.0;57.9;3.8;0.47
Romario Holloway;SG Junior Löwen Braunschweig;B;Big;Pure Creator;2005;8;245.0;68.6;10.0;20.8;20.9;241;30.1;55.5;3.3;0.53
Nikola Tomic;SG Junior Löwen Braunschweig;B;Forward;Pure Creator;2005;9;312.7;51.7;12.8;9.5;14.0;285;31.7;54.3;3.3;0.42
Rémi Völkers;Team Bonn/Rhöndorf;B;Point;Creator;2008;1;12.8;70.0;28.6;6.5;0.0;13;13.0;53.9;0.2;0.63
Djibril Jeremias Claus;Sartorius Juniors;B;Forward;Creator;2006;2;15.0;93.8;20.0;7.0;0.0;13;6.5;51.1;0.1;0.32
Matija Milosevic;KICKZ IBAM;A;Combo;Pure Creator;2005;13;377.9;58.3;12.2;6.7;17.6;311;23.9;50.7;4.0;0.42
Dante Aruna;USC Heidelberg;B;Forward;Neutral;2006;1;4.7;50.0;0.0;80.5;25.0;3;3.0;50.5;0.1;0.57
Jan Alexander Matern;Hamburg Towers;A;Point;Creator;2007;3;9.6;112.5;20.0;0.0;0.0;7;2.3;49.4;0.1;0.44
Jack Kayil;Young Rasta Dragons;A;Point;Pure Creator;2006;5;116.3;50.8;21.7;3.8;55.9;87;17.4;48.7;1.3;0.44
Tin Udovicic;KICKZ IBAM;A;Point;Pure Creator;2005;3;93.6;57.1;15.2;2.8;22.9;80;26.7;48.4;1.2;0.50
Janne Lasse Müller;Team Bonn/Rhöndorf;B;Wing;Pure Creator;2006;8;222.3;57.1;13.4;6.3;40.2;175;21.9;48.0;2.6;0.47
Erwin Ludwig;Dresden Titans;B;Combo;Neutral;2008;1;7.8;60.0;16.7;0.0;0.0;7;7.0;47.6;0.0;-0.14
Igor Jokic;Baskets Juniors Oldenburg;A;Combo;Pure Creator;2005;7;141.3;58.4;14.3;5.6;26.5;101;14.4;46.6;1.4;0.39
Sebastian Schwachhofer;Porsche BBA Ludwigsburg;A;Forward;Pure Creator;2005;9;207.0;65.3;14.1;13.8;22.4;179;19.9;46.3;2.2;0.42
Tom Stoiber;Tornados Franken;B;Forward;Pure Creator;2006;9;253.0;68.0;12.5;7.0;49.0;214;23.8;46.2;3.0;0.47
Husein Petlaca;BBA Giants Kornwestheim;B;Forward;Pure Creator;2006;5;75.3;69.1;13.4;9.4;23.5;58;11.6;46.1;0.8;0.40
Luca Max Sarnowska;ratiopharm Ulm;B;Wing;Pure Creator;2006;9;236.1;54.9;9.3;11.7;25.7;167;18.6;45.7;2.7;0.47
Ole Schiffer;RheinStars Köln;B;Combo;Pure Creator;2007;4;36.6;80.0;11.8;2.8;0.0;30;7.5;45.2;0.4;0.42
#8Bonn;Team Bonn/Rhöndorf;B;Forward;Neutral;1900;1;23.6;50.0;7.4;0.0;66.7;19;19.0;45.0;0.2;0.33
Henning Gustrau;Metropol Baskets Ruhr;B;Big;Pure Creator;2005;8;175.3;59.0;10.3;20.4;22.9;159;19.9;44.2;1.8;0.40
#12Düsseldorf;ART Giants Düsseldorf;B;Combo;Creator;1900;1;10.3;83.3;0.0;0.0;0.0;8;8.0;43.9;0.1;0.35
Louis Jakob Sutor;ROTH Energie BBA GIESSEN 46ers;A;Forward;Neutral;2008;1;22.2;50.0;0.0;6.7;140.0;14;14.0;43.7;0.2;0.36
Linus Ruf;Alba Berlin;A;Big;Pure Creator;2005;6;130.6;59.3;17.4;17.8;28.8;113;18.8;42.9;1.2;0.37
Desmond Yiamu;FC Bayern München;A;Big;Pure Creator;2006;11;244.5;76.6;17.9;13.8;32.5;205;18.6;42.1;2.1;0.35
Paul Viefhues;UBC Münster;A;Combo;Creator;2005;2;39.1;57.4;9.7;2.5;3.7;23;11.5;41.6;0.3;0.35
