PLAYER;TEAM;DIV;POS;BORN;GP;MP;PT;RB;AS;ST;BS;TO;PF;EF;DD;TD
Hannes Steinbach;Würzburg Baskets Akademie;B;Big;2006;10;326.1;307;156;33;12;15;55;27;370;8;0
Nikola Tomic;SG Junior Löwen Braunschweig;B;Forward;2005;9;312.7;303;98;40;17;17;41;20;285;6;0
Matija Milosevic;KICKZ IBAM;A;Combo;2005;13;377.9;298;84;53;32;5;34;35;311;3;0
Luca Kellig;Niners Chemnitz Academy;A;Wing;2006;13;394.8;289;45;23;17;2;40;32;225;1;0
Simon Feneberg;Tornados Franken;B;Combo;2005;12;379.6;262;94;65;30;1;57;31;276;4;0
Dusan Nikolic;Eintracht Frankfurt;B;Combo;2005;12;363.6;244;58;39;28;4;52;21;174;1;0
Till Heyne;ROTH Energie BBA GIESSEN 46ers;A;Point;2006;14;452.4;242;32;52;26;0;71;42;135;1;0
Thore Dilschmann;UBC Münster;A;Point;2006;13;405.3;241;57;49;25;0;39;29;218;1;0
Janis Jünemann;Sartorius Juniors;B;Big;2005;11;281.7;236;139;30;28;14;26;29;325;8;0
Kenan Reinhart;RheinStars Köln;B;Wing;2007;9;290.3;218;61;19;16;1;25;28;164;1;0
Danas Kazakevicius;Bamberg freakcity academy;A;Forward;2005;10;331.3;217;97;27;10;6;33;23;234;5;0
Ben-Luca Port;Baskets Paderborn;A;Big;2005;14;418.9;212;121;43;25;31;33;40;281;2;0
Oskar Humpert;UBC Münster;A;Forward;2005;12;365.2;198;88;24;11;13;30;41;198;2;0
Nikolas Sermpezis;FC Bayern München;A;Wing;2007;13;276.9;198;47;24;21;0;30;41;132;0;0
Jakob Lang;Medipolis SC Jena;A;Big;2005;14;312.5;197;87;16;17;11;29;35;210;2;0
Janne Lasse Müller;Team Bonn/Rhöndorf;B;Wing;2006;8;222.3;196;48;11;16;0;24;13;175;0;0
Luca Max Sarnowska;ratiopharm Ulm;B;Wing;2006;9;236.1;195;43;14;17;0;17;17;167;0;0
Viktor Ludviksson;UBC Münster;A;Forward;2006;12;352.3;193;91;20;19;11;44;47;206;2;0
David Koch;Bayer Giants Leverkusen;A;Wing;2005;13;336.0;190;52;17;15;3;24;16;136;0;0
Lennard Glowka;Niners Chemnitz Academy;A;Combo;2006;10;293.4;186;28;25;14;4;32;27;151;0;0
Tom Stoiber;Tornados Franken;B;Forward;2006;9;253.0;185;63;18;11;4;18;20;214;1;0
Christian Mann;ROTH Energie BBA GIESSEN 46ers;A;Big;2006;11;319.4;185;99;22;12;4;27;32;226;4;0
Jannis Ridder;Baskets Paderborn;A;Forward;2005;14;429.3;183;80;28;30;7;42;41;206;2;0
Anton Meyer;Eisbären Bremerhaven;A;Combo;2005;13;440.6;181;68;53;33;0;65;29;131;0;0
Detwan Andrews;ROTH Energie BBA GIESSEN 46ers;A;Wing;2005;13;380.6;178;49;17;27;2;27;44;124;0;0
Romario Holloway;SG Junior Löwen Braunschweig;B;Big;2005;8;245.0;174;87;11;18;14;14;24;241;6;0
Kristian Ortelli;Bamberg freakcity academy;A;Wing;2006;11;356.5;174;93;45;19;5;52;25;176;3;0
Noah Popescu;BBA Giants Kornwestheim;B;Wing;2006;10;342.1;171;39;22;23;4;40;34;89;0;0
Alan De Vries;TS Jahn München;B;Wing;2005;10;308.3;171;41;16;18;1;17;7;125;0;0
Jared Grey;Team Urspring;A;Wing;2005;12;324.5;171;68;37;25;4;35;28;179;1;0
Leon Anbinder;Baskets Paderborn;A;Combo;2005;12;312.7;170;42;46;28;1;44;45;167;1;0
Jorke Aav;Team Urspring;A;Combo;2005;11;311.0;165;58;50;19;1;32;26;173;0;0
Jeremey Jason Wontroba;Bayer Giants Leverkusen;A;Forward;2005;14;267.7;164;73;8;14;0;30;31;122;2;0
Karl Bühner;Young Rasta Dragons;A;Big;2005;13;330.6;162;108;23;28;12;37;31;208;4;0
Ben Lenhardt;Berlin Braves Baskets;B;Point;2006;13;330.1;162;40;32;36;0;25;16;154;1;0
Hendrik Metsa;Medipolis SC Jena;A;Combo;2007;12;273.5;162;28;32;14;2;32;24;153;0;0
