Name;Team;Blocks
Ben-Luca Port;Baskets Paderborn;31
Luca von Thun;Eisbären Bremerhaven;29
Yannis Steger;Bayer Giants Leverkusen;19
Moek Icke;Porsche BBA Ludwigsburg;18
Jeremy Julian Kolev;KICKZ IBAM;14
Oskar Humpert;UBC Münster;13
Johann Helwig;Baskets Juniors Oldenburg;13
Karl Bühner;Young Rasta Dragons;12
Nevio Bennefeld;Alba Berlin;12
Matteo Petters;FC Bayern München;12
Viktor Ludviksson;UBC Münster;11
Jakob Lang;Medipolis SC Jena;11
Lukas Modic;Porsche BBA Ludwigsburg;11
Jarne Jürgens;Young Rasta Dragons;11
Olisaemeka Williams Itumo;KICKZ IBAM;10
Kai Müsse;ROTH Energie BBA GIESSEN 46ers;10
Julis Baumer;Porsche BBA Ludwigsburg;9
Tim Schnelle;Bayer Giants Leverkusen;9
Sebastian Schwachhofer;Porsche BBA Ludwigsburg;9
Dre Odeh;Bayer Giants Leverkusen;8
Esli Edigin;Porsche BBA Ludwigsburg;8
Colin Schroeder;Baskets Juniors Oldenburg;8
Leon Amadou Geißler;Team Urspring;8
Yannick Mogalle;Bamberg freakcity academy;7
Jannis Ridder;Baskets Paderborn;7
Tim Otto;Medipolis SC Jena;7
Mika Tangermann;Hamburg Towers;7
Dorian Grosber;Alba Berlin;6
Lars Kremer;Bayer Giants Leverkusen;6
Simon Kohlhoff;Baskets Juniors Oldenburg;6
Danas Kazakevicius;Bamberg freakcity academy;6
Jenö Pildner;Team Urspring;6
Kristian Ortelli;Bamberg freakcity academy;5
Pablo Estelle;Team Urspring;5
Marko Masic;Porsche BBA Ludwigsburg;5
Anton Nufer;Alba Berlin;5
Johann Grau;Medipolis SC Jena;5
Desmond Yiamu;FC Bayern München;5
Benno Wolf;Bamberg freakcity academy;5
Matija Milosevic;KICKZ IBAM;5
Linus Trettin;Young Rasta Dragons;5
Jordan Knacke;KICKZ IBAM;5
Lennard Glowka;Niners Chemnitz Academy;4
Maxwell Revell;Eisbären Bremerhaven;4
Lennox Groh;UBC Münster;4
Tom Brüggemann;Baskets Paderborn;4
Maximilian zur Linde;Baskets Paderborn;4
Jared Grey;Team Urspring;4
Christian Mann;ROTH Energie BBA GIESSEN 46ers;4
Niels Dübener;Bayer Giants Leverkusen;4
Alen Blakaj;Young Rasta Dragons;4
Amon Levi Dörries;Alba Berlin;4
Cheikh Oumar Doucoure;Hamburg Towers;4
Caspar Chima Okoro;KICKZ IBAM;4
Abdulhay Kömürkara;Porsche BBA Ludwigsburg;3
Finn Stuhlmeyer;Baskets Juniors Oldenburg;3
Lazar Klaric;Baskets Juniors Oldenburg;3
Noah Slingerland;Baskets Juniors Oldenburg;3
Laurenz Wulf;Hamburg Towers;3
Jan Jesgarzewski;Eisbären Bremerhaven;3
Ivan Volf;FC Bayern München;3
Jonathan Elzie;Hamburg Towers;3
Philipp Roos;KICKZ IBAM;3
Leonhard Laar;Team Urspring;3
David Koch;Bayer Giants Leverkusen;3
Leonard Jan Gausa;Hamburg Towers;3
Alexander Vourliotis;Eisbären Bremerhaven;3
Jakub Klobusiak;Niners Chemnitz Academy;3
Ognjen Cocic;KICKZ IBAM;3
Koray Grenz;FC Bayern München;3
Osaigbovo Idehen Aguebor;Baskets Paderborn;3
Delano Miguel Juma;Niners Chemnitz Academy;3
Tin Udovicic;KICKZ IBAM;3
Max Emil Weber;Baskets Paderborn;2
Noah-Oliver Okah;Bayer Giants Leverkusen;2
Jannis Grußendorf;FC Bayern München;2
Eduard Rantz;FC Bayern München;2
Detwan Andrews;ROTH Energie BBA GIESSEN 46ers;2
Linus Ruf;Alba Berlin;2
Jack Kayil;Young Rasta Dragons;2
Raphael Falkenthal;Medipolis SC Jena;2
Tim-Felix Bühren;Young Rasta Dragons;2
Hendrik Metsa;Medipolis SC Jena;2
Daniel Biel;Medipolis SC Jena;2
Mathéo Hermann;Alba Berlin;2
Lukas Wiegeler;UBC Münster;2
Jannis Rümer;Bamberg freakcity academy;2
Tim Nocke;Baskets Juniors Oldenburg;2
Timon Hoffmann;Baskets Paderborn;2
Lukas Probst;Medipolis SC Jena;2
Damarae Osazuwa Simson;Eisbären Bremerhaven;2
Didier Alphonse Mbida Mengue;FC Bayern München;2
Jonah Lindemann;Eisbären Bremerhaven;2
Armin Durakovic;ROTH Energie BBA GIESSEN 46ers;2
Colin Hartig;Niners Chemnitz Academy;2
Noah Kagiso Batsile;Eisbären Bremerhaven;2
Daniel Riedrich;KICKZ IBAM;2
Isayah Marcin;FC Bayern München;2
Daniel Obehi Mack;Porsche BBA Ludwigsburg;2
Leonard Dertmann;UBC Münster;2
Luca Kellig;Niners Chemnitz Academy;2
Luca May;Medipolis SC Jena;2
Miran Evin;Baskets Juniors Oldenburg;1
Danylo Kolesnichenko;Baskets Paderborn;1
Jug Bogdan;Bayer Giants Leverkusen;1
Benjamin Jeß;Hamburg Towers;1
Martin Geuther;Medipolis SC Jena;1
Giuliano Aufiero;FC Bayern München;1
Lennart Tröppner;Team Urspring;1
Mats Niggemann;UBC Münster;1
Ole Sebastiani;Eisbären Bremerhaven;1
Silver Bieling;KICKZ IBAM;1
Ari von Wiegen;Alba Berlin;1
Jonathan Paul Zeisberger;KICKZ IBAM;1
Neo Krizanovic;Bamberg freakcity academy;1
Noe Baucks;Baskets Paderborn;1
Calin Nita;Bayer Giants Leverkusen;1
Norwin Gumbinger;KICKZ IBAM;1
Jayson Pfannenstiel;Eisbären Bremerhaven;1
Johannes Hellmann;Young Rasta Dragons;1
Leander Nzume;Baskets Juniors Oldenburg;1
Niklas Bertram;ROTH Energie BBA GIESSEN 46ers;1
Jules Victor Apollon Galvani;Hamburg Towers;1
Jonas Pohle;Bayer Giants Leverkusen;1
Leonard Kant;Porsche BBA Ludwigsburg;1
Noah Koch;Young Rasta Dragons;1
Marko Petric;Young Rasta Dragons;1
Joshua Sievers;UBC Münster;1
Raphael Wöllenstein;ROTH Energie BBA GIESSEN 46ers;1
Jayden Estrus Jr. Fatnassi;Hamburg Towers;1
Felix Zacharias;Niners Chemnitz Academy;1
Leon Anbinder;Baskets Paderborn;1
Muhamad-Adel Soumare Medford;UBC Münster;1
Darren Egbe;Hamburg Towers;1
Finn Paris;Baskets Paderborn;1
Noé Bom;Hamburg Towers;1
Edwin Krzeminski;Niners Chemnitz Academy;1
Frederik Selzer;Bayer Giants Leverkusen;1
Cornelius Meinel;Medipolis SC Jena;1
Aleksandar Zecevic;Baskets Juniors Oldenburg;1
Dominik Dolic;FC Bayern München;1
Nicola Schultze;Alba Berlin;1
Christopher Wahren;Niners Chemnitz Academy;1
Paul Schmorleiz;Alba Berlin;1
Silian Felix Bonacker;ROTH Energie BBA GIESSEN 46ers;1
Maurice Reiter;Alba Berlin;1
Noah Palumbo;Bayer Giants Leverkusen;1
Mateja Pivnicki;Team Urspring;1
Noah Bakker;Eisbären Bremerhaven;1
Jorke Aav;Team Urspring;1
Felix Egger;Bamberg freakcity academy;1
Philip Schneck;Team Urspring;1
Louis Jakob Sutor;ROTH Energie BBA GIESSEN 46ers;1
Radouan Aberkane;Eisbären Bremerhaven;1
Justus Waller;Hamburg Towers;1
Ben Reinhardt;Medipolis SC Jena;0
Vaclav Nosek;Team Urspring;0
Jacques Achard;Medipolis SC Jena;0
Jarno Wallrafen;UBC Münster;0
Moritz Renner;KICKZ IBAM;0
Yari Monninkhoff;Alba Berlin;0
Anton Haverkamp;UBC Münster;0
Julian Eugene Glenewinkel;FC Bayern München;0
Noah Spindler;Niners Chemnitz Academy;0
Thai Bui;Niners Chemnitz Academy;0
#9Alba;Alba Berlin;0
Ben Hebling;KICKZ IBAM;0
Alan Topic Volovec;FC Bayern München;0
Felix Holzer;KICKZ IBAM;0
Marko Volf;FC Bayern München;0
Finn Schwaiger;Medipolis SC Jena;0
Richard Schmitt;Alba Berlin;0
Leo Kirchhoff;UBC Münster;0
Jonatan Kunze;Niners Chemnitz Academy;0
Erik Niggemann;UBC Münster;0
Ikechukwu Nicodemus Onyekwere;KICKZ IBAM;0
Viktor Lukic-Gavric;Baskets Juniors Oldenburg;0
Ben Denkena;Baskets Juniors Oldenburg;0
Fynn Thure Benzel;Medipolis SC Jena;0
#17Giessen;ROTH Energie BBA GIESSEN 46ers;0
Leonard Menne;Bayer Giants Leverkusen;0
Julian Kirchhoff;Baskets Paderborn;0
Leo Hylla;Alba Berlin;0
Leopold Schmidt;Medipolis SC Jena;0
Ole Schwering;UBC Münster;0
Aaron Rehberger;Young Rasta Dragons;0
Jonas Groß;Young Rasta Dragons;0
Jonas Mendl;Bamberg freakcity academy;0
Paul Luis Schwabe;Young Rasta Dragons;0
Michel Schillmöller;Young Rasta Dragons;0
Saro Pisacane;Bamberg freakcity academy;0
Kaloyan Iskrenov Lozanov;Team Urspring;0
Daniel Christian Selck;Hamburg Towers;0
Tim Rothämel;Medipolis SC Jena;0
Mika Kröner;Bamberg freakcity academy;0
Gunnar Wanninger;KICKZ IBAM;0
David Sann;ROTH Energie BBA GIESSEN 46ers;0
David Galusic;FC Bayern München;0
Epke Kruthaup;Young Rasta Dragons;0
Clemens Bialas;Baskets Paderborn;0
Moritz Grüß;Young Rasta Dragons;0
Henning Rosemeyer;Young Rasta Dragons;0
Angelos Avramidis;Hamburg Towers;0
#1Towers;Hamburg Towers;0
Jeremey Jason Wontroba;Bayer Giants Leverkusen;0
Maximilian Eichbaum;Bamberg freakcity academy;0
Timo Wachsmuth;Bamberg freakcity academy;0
Pedja Labus;Bayer Giants Leverkusen;0
Bar Amiel;Bamberg freakcity academy;0
Max Riedel;Alba Berlin;0
Gido Nanninga;Baskets Juniors Oldenburg;0
Dariusz Blank;ROTH Energie BBA GIESSEN 46ers;0
Armin Nahreyni;Bayer Giants Leverkusen;0
Isaiah Javante Batiste;ROTH Energie BBA GIESSEN 46ers;0
Jan Dübener;Bayer Giants Leverkusen;0
Finn-Friedrich Flasche;Alba Berlin;0
Gregor Gewinner;Baskets Juniors Oldenburg;0
Paul Rüß;Hamburg Towers;0
Lars Schröder;Baskets Juniors Oldenburg;0
Callum Macaulay;Team Urspring;0
Anton Meyer;Eisbären Bremerhaven;0
Till Heyne;ROTH Energie BBA GIESSEN 46ers;0
Liam Gföllner;Alba Berlin;0
#4Bremerhaven;Eisbären Bremerhaven;0
Eren Simbil;Alba Berlin;0
Jonte Elias Heßling;Eisbären Bremerhaven;0
Nelson Martin;Hamburg Towers;0
Anton Kemmer;Alba Berlin;0
Tom Wübben;Baskets Paderborn;0
Leander Werner;Niners Chemnitz Academy;0
Maximilian Bartylak;ROTH Energie BBA GIESSEN 46ers;0
Kilian Walter;Bamberg freakcity academy;0
Jakob Baur;Team Urspring;0
Joshua William Greene;FC Bayern München;0
Till Galler;Team Urspring;0
Dominic Mack;Porsche BBA Ludwigsburg;0
Tim Sauer;Bamberg freakcity academy;0
Leon Martinez;KICKZ IBAM;0
Matteo Sattler;Bamberg freakcity academy;0
Jonathan Deutsch;Niners Chemnitz Academy;0
Namik Muratovic;FC Bayern München;0
Alfons Milatz;Niners Chemnitz Academy;0
Travis Davis;Porsche BBA Ludwigsburg;0
Nikolas Sermpezis;FC Bayern München;0
Sebastian Kuhn;Porsche BBA Ludwigsburg;0
#10 Giessen;ROTH Energie BBA GIESSEN 46ers;0
Paul Bahn;Alba Berlin;0
Benjamin Koppke;Niners Chemnitz Academy;0
Lukas Schütz;Porsche BBA Ludwigsburg;0
Tobias Kamp;Bayer Giants Leverkusen;0
Alexander Lehmann;Baskets Paderborn;0
Ruben Köster;Baskets Juniors Oldenburg;0
Domenico-Germaine Hansmeier;Baskets Paderborn;0
Noah Liem;UBC Münster;0
Daniel Hinkov;Porsche BBA Ludwigsburg;0
Jan Alexander Matern;Hamburg Towers;0
Thore Dilschmann;UBC Münster;0
Nikola Pecanac;FC Bayern München;0
Linus Jürgens;Baskets Paderborn;0
Stanislav Hinkov;Porsche BBA Ludwigsburg;0
Karl Haring;Medipolis SC Jena;0
Jericho Richter;Eisbären Bremerhaven;0
Niklas Schulz;Medipolis SC Jena;0
#0Giessen;ROTH Energie BBA GIESSEN 46ers;0
Bennett Spree;Baskets Juniors Oldenburg;0
Martin Kalu;FC Bayern München;0
Aksel Laso;FC Bayern München;0
Noah Asamoah;Alba Berlin;0
Luka Pesic;FC Bayern München;0
Paul Manuel Raabe;Alba Berlin;0
Christopher Wersien;Eisbären Bremerhaven;0
Lukas Klein;Bayer Giants Leverkusen;0
Henry Hollander;Eisbären Bremerhaven;0
Bruno Jacob Wollmann;ROTH Energie BBA GIESSEN 46ers;0
Maj Dolinsek;KICKZ IBAM;0
Alexios Kyriakidis;Medipolis SC Jena;0
Alfred Milatz;Niners Chemnitz Academy;0
Jasper Hegele;ROTH Energie BBA GIESSEN 46ers;0
Robin Kurr;FC Bayern München;0
Djairo Bernardina;Young Rasta Dragons;0
Karl Heinz Kleine Holthaus;Young Rasta Dragons;0
Ivan Kharchenkov;FC Bayern München;0
Igor Jokic;Baskets Juniors Oldenburg;0
Joshua Bonga;Young Rasta Dragons;0
Kilian Dück;FC Bayern München;0
#6Bremerhaven;Eisbären Bremerhaven;0
Mathieu Adovi-Ley;Hamburg Towers;0
Schilo Kabongo;Bayer Giants Leverkusen;0
#5 Bamberg;Bamberg freakcity academy;0
Julijo Kendes;Team Urspring;0
Bastian Nückel;Bamberg freakcity academy;0
Julian Günther;Bamberg freakcity academy;0
Leon Schneider;Bamberg freakcity academy;0
Elias Nold;Baskets Juniors Oldenburg;0
Fabian Kayser;Baskets Paderborn;0
Karl Johan Vändra;ROTH Energie BBA GIESSEN 46ers;0
Ole Werker;Bayer Giants Leverkusen;0
Sheriff-Mustapha Jameh;Eisbären Bremerhaven;0
Seny Thiaw;Bayer Giants Leverkusen;0
Matteo Schultz;Medipolis SC Jena;0
Paul Viefhues;UBC Münster;0
Timon Gotsis;KICKZ IBAM;0
Laurens Rieping;UBC Münster;0
Jordan Juel Lockhart;ROTH Energie BBA GIESSEN 46ers;0
Lukas Mutter;Alba Berlin;0
Mattia Probst;Team Urspring;0
Jan Mausolf;Bamberg freakcity academy;0
Julius Lehmann;Niners Chemnitz Academy;0
Denzel Mota;Bamberg freakcity academy;0
