Name;Team;Points
Matija Milosevic;KICKZ IBAM;298
Luca Kellig;Niners Chemnitz Academy;289
Till Heyne;ROTH Energie BBA GIESSEN 46ers;242
Thore Dilschmann;UBC Münster;241
Danas Kazakevicius;Bamberg freakcity academy;217
Ben-Luca Port;Baskets Paderborn;212
Oskar Humpert;UBC Münster;198
Nikolas Sermpezis;FC Bayern München;198
Jakob Lang;Medipolis SC Jena;197
Viktor Ludviksson;UBC Münster;193
David Koch;Bayer Giants Leverkusen;190
Lennard Glowka;Niners Chemnitz Academy;186
Christian Mann;ROTH Energie BBA GIESSEN 46ers;185
Jannis Ridder;Baskets Paderborn;183
Anton Meyer;Eisbären Bremerhaven;181
Detwan Andrews;ROTH Energie BBA GIESSEN 46ers;178
Kristian Ortelli;Bamberg freakcity academy;174
Jared Grey;Team Urspring;171
Leon Anbinder;Baskets Paderborn;170
Jorke Aav;Team Urspring;165
Jeremey Jason Wontroba;Bayer Giants Leverkusen;164
Karl Bühner;Young Rasta Dragons;162
Hendrik Metsa;Medipolis SC Jena;162
Amon Levi Dörries;Alba Berlin;159
Lars Kremer;Bayer Giants Leverkusen;156
Miran Evin;Baskets Juniors Oldenburg;154
Jonathan Paul Zeisberger;KICKZ IBAM;151
Jannis Rümer;Bamberg freakcity academy;147
Benjamin Jeß;Hamburg Towers;145
Simon Kohlhoff;Baskets Juniors Oldenburg;145
Abdulhay Kömürkara;Porsche BBA Ludwigsburg;143
Desmond Yiamu;FC Bayern München;143
Benjamin Koppke;Niners Chemnitz Academy;140
Lukas Modic;Porsche BBA Ludwigsburg;140
Moek Icke;Porsche BBA Ludwigsburg;140
Linus Trettin;Young Rasta Dragons;137
Travis Davis;Porsche BBA Ludwigsburg;135
Olisaemeka Williams Itumo;KICKZ IBAM;132
Nelson Martin;Hamburg Towers;132
Kai Müsse;ROTH Energie BBA GIESSEN 46ers;131
Sebastian Schwachhofer;Porsche BBA Ludwigsburg;130
Tim Otto;Medipolis SC Jena;128
Colin Schroeder;Baskets Juniors Oldenburg;127
Johann Grau;Medipolis SC Jena;126
Marko Masic;Porsche BBA Ludwigsburg;126
Luca von Thun;Eisbären Bremerhaven;123
Leonhard Laar;Team Urspring;122
Anton Nufer;Alba Berlin;122
Noé Bom;Hamburg Towers;122
Igor Jokic;Baskets Juniors Oldenburg;119
