Name;Team;PER
Matija Milosevic;KICKZ IBAM;638.1
Colin Schroeder;Baskets Juniors Oldenburg;532.3
Luca Kellig;Niners Chemnitz Academy;502.1
Jakob Lang;Medipolis SC Jena;464.7
Desmond Yiamu;FC Bayern München;460.0
Ben-Luca Port;Baskets Paderborn;457.5
Karl Bühner;Young Rasta Dragons;433.6
Olisaemeka Williams Itumo;KICKZ IBAM;432.7
Sebastian Schwachhofer;Porsche BBA Ludwigsburg;428.0
Thore Dilschmann;UBC Münster;422.4
Jared Grey;Team Urspring;412.4
Christian Mann;ROTH Energie BBA GIESSEN 46ers;404.1
Nikolas Sermpezis;FC Bayern München;395.4
Moek Icke;Porsche BBA Ludwigsburg;393.4
Johann Grau;Medipolis SC Jena;391.9
Hendrik Metsa;Medipolis SC Jena;386.6
Linus Trettin;Young Rasta Dragons;386.3
Lukas Modic;Porsche BBA Ludwigsburg;381.8
Danas Kazakevicius;Bamberg freakcity academy;380.3
Mika Tangermann;Hamburg Towers;373.9
Tim Otto;Medipolis SC Jena;360.1
Jeremey Jason Wontroba;Bayer Giants Leverkusen;356.9
Oskar Humpert;UBC Münster;355.5
Viktor Ludviksson;UBC Münster;349.2
Lennard Glowka;Niners Chemnitz Academy;347.9
Jorke Aav;Team Urspring;347.0
Yannis Steger;Bayer Giants Leverkusen;342.0
David Koch;Bayer Giants Leverkusen;335.0
Leon Anbinder;Baskets Paderborn;333.0
Jannis Ridder;Baskets Paderborn;332.2
Leon Amadou Geißler;Team Urspring;331.5
Jonathan Paul Zeisberger;KICKZ IBAM;321.0
Abdulhay Kömürkara;Porsche BBA Ludwigsburg;320.1
Nelson Martin;Hamburg Towers;315.9
Lazar Klaric;Baskets Juniors Oldenburg;304.3
Johannes Hellmann;Young Rasta Dragons;297.6
Igor Jokic;Baskets Juniors Oldenburg;294.1
Kristian Ortelli;Bamberg freakcity academy;294.0
Till Heyne;ROTH Energie BBA GIESSEN 46ers;288.8
Dorian Grosber;Alba Berlin;286.3
Kai Müsse;ROTH Energie BBA GIESSEN 46ers;286.0
Simon Kohlhoff;Baskets Juniors Oldenburg;285.2
Lars Kremer;Bayer Giants Leverkusen;280.5
Miran Evin;Baskets Juniors Oldenburg;279.3
Johann Helwig;Baskets Juniors Oldenburg;275.7
Ognjen Cocic;KICKZ IBAM;273.9
