Name;Team;Rebounds
Ben-Luca Port;Baskets Paderborn;121
Moek Icke;Porsche BBA Ludwigsburg;111
Karl Bühner;Young Rasta Dragons;108
Kai Müsse;ROTH Energie BBA GIESSEN 46ers;107
Luca von Thun;Eisbären Bremerhaven;100
Christian Mann;ROTH Energie BBA GIESSEN 46ers;99
Danas Kazakevicius;Bamberg freakcity academy;97
Johann Grau;Medipolis SC Jena;96
Kristian Ortelli;Bamberg freakcity academy;93
Viktor Ludviksson;UBC Münster;91
Oskar Humpert;UBC Münster;88
Mika Tangermann;Hamburg Towers;87
Jakob Lang;Medipolis SC Jena;87
Matija Milosevic;KICKZ IBAM;84
Olisaemeka Williams Itumo;KICKZ IBAM;84
Leon Amadou Geißler;Team Urspring;83
Benjamin Koppke;Niners Chemnitz Academy;81
Jannis Ridder;Baskets Paderborn;80
Desmond Yiamu;FC Bayern München;77
Jeremey Jason Wontroba;Bayer Giants Leverkusen;73
Lukas Modic;Porsche BBA Ludwigsburg;71
Dorian Grosber;Alba Berlin;71
Pablo Estelle;Team Urspring;71
Colin Schroeder;Baskets Juniors Oldenburg;71
Noah Slingerland;Baskets Juniors Oldenburg;69
Jared Grey;Team Urspring;68
Jakub Klobusiak;Niners Chemnitz Academy;68
Anton Meyer;Eisbären Bremerhaven;68
Lazar Klaric;Baskets Juniors Oldenburg;68
Linus Trettin;Young Rasta Dragons;67
Matteo Petters;FC Bayern München;66
Simon Kohlhoff;Baskets Juniors Oldenburg;64
Yannis Steger;Bayer Giants Leverkusen;63
Jeremy Julian Kolev;KICKZ IBAM;62
Tim Nocke;Baskets Juniors Oldenburg;60
Benjamin Jeß;Hamburg Towers;59
Jorke Aav;Team Urspring;58
Linus Ruf;Alba Berlin;58
Amon Levi Dörries;Alba Berlin;57
Sebastian Schwachhofer;Porsche BBA Ludwigsburg;57
Nevio Bennefeld;Alba Berlin;57
Thore Dilschmann;UBC Münster;57
Tim Otto;Medipolis SC Jena;56
Mats Niggemann;UBC Münster;56
Nelson Martin;Hamburg Towers;55
Fynn Thure Benzel;Medipolis SC Jena;55
Jannis Rümer;Bamberg freakcity academy;54
Dre Odeh;Bayer Giants Leverkusen;53
David Koch;Bayer Giants Leverkusen;52
Esli Edigin;Porsche BBA Ludwigsburg;52
Johann Helwig;Baskets Juniors Oldenburg;50
Tim Schnelle;Bayer Giants Leverkusen;50
Tim-Felix Bühren;Young Rasta Dragons;49
Noé Bom;Hamburg Towers;49
Detwan Andrews;ROTH Energie BBA GIESSEN 46ers;49
Nikolas Sermpezis;FC Bayern München;47
Niels Dübener;Bayer Giants Leverkusen;47
Lars Kremer;Bayer Giants Leverkusen;47
Marko Masic;Porsche BBA Ludwigsburg;47
Julis Baumer;Porsche BBA Ludwigsburg;46
Abdulhay Kömürkara;Porsche BBA Ludwigsburg;46
Leonhard Laar;Team Urspring;46
Maxwell Revell;Eisbären Bremerhaven;45
Luca Kellig;Niners Chemnitz Academy;45
Leo Hylla;Alba Berlin;45
Miran Evin;Baskets Juniors Oldenburg;45
Anton Nufer;Alba Berlin;44
Colin Hartig;Niners Chemnitz Academy;44
Radouan Aberkane;Eisbären Bremerhaven;42
Philipp Roos;KICKZ IBAM;42
Leon Anbinder;Baskets Paderborn;42
Ognjen Cocic;KICKZ IBAM;41
Jarne Jürgens;Young Rasta Dragons;41
Mathieu Adovi-Ley;Hamburg Towers;40
Benno Wolf;Bamberg freakcity academy;40
Damarae Osazuwa Simson;Eisbären Bremerhaven;40
Joshua Sievers;UBC Münster;39
Muhamad-Adel Soumare Medford;UBC Münster;36
Noah Koch;Young Rasta Dragons;36
Alfred Milatz;Niners Chemnitz Academy;35
Jonathan Paul Zeisberger;KICKZ IBAM;35
Maximilian zur Linde;Baskets Paderborn;34
Justus Waller;Hamburg Towers;34
Finn Schwaiger;Medipolis SC Jena;33
Jannis Grußendorf;FC Bayern München;33
Jordan Knacke;KICKZ IBAM;33
Yannick Mogalle;Bamberg freakcity academy;33
Mathéo Hermann;Alba Berlin;32
Daniel Biel;Medipolis SC Jena;32
Till Heyne;ROTH Energie BBA GIESSEN 46ers;32
Philip Schneck;Team Urspring;32
Jayden Estrus Jr. Fatnassi;Hamburg Towers;32
Alexander Vourliotis;Eisbären Bremerhaven;31
Leonard Jan Gausa;Hamburg Towers;31
Martin Geuther;Medipolis SC Jena;31
Tom Brüggemann;Baskets Paderborn;31
Edwin Krzeminski;Niners Chemnitz Academy;31
Jenö Pildner;Team Urspring;30
Finn Paris;Baskets Paderborn;30
Jug Bogdan;Bayer Giants Leverkusen;29
Armin Durakovic;ROTH Energie BBA GIESSEN 46ers;29
Daniel Riedrich;KICKZ IBAM;28
Hendrik Metsa;Medipolis SC Jena;28
Lennard Glowka;Niners Chemnitz Academy;28
Niklas Bertram;ROTH Energie BBA GIESSEN 46ers;28
Paul Luis Schwabe;Young Rasta Dragons;28
Luca May;Medipolis SC Jena;28
Jayson Pfannenstiel;Eisbären Bremerhaven;27
Raphael Falkenthal;Medipolis SC Jena;27
Cheikh Oumar Doucoure;Hamburg Towers;27
Caspar Chima Okoro;KICKZ IBAM;27
Nicola Schultze;Alba Berlin;27
Jonah Lindemann;Eisbären Bremerhaven;26
Max Emil Weber;Baskets Paderborn;26
Neo Krizanovic;Bamberg freakcity academy;26
Leonard Dertmann;UBC Münster;26
Richard Schmitt;Alba Berlin;25
Felix Zacharias;Niners Chemnitz Academy;25
Johannes Hellmann;Young Rasta Dragons;25
Ivan Volf;FC Bayern München;24
Djairo Bernardina;Young Rasta Dragons;24
Travis Davis;Porsche BBA Ludwigsburg;24
Koray Grenz;FC Bayern München;24
Mika Kröner;Bamberg freakcity academy;23
Noah-Oliver Okah;Bayer Giants Leverkusen;22
Igor Jokic;Baskets Juniors Oldenburg;21
Silian Felix Bonacker;ROTH Energie BBA GIESSEN 46ers;21
Callum Macaulay;Team Urspring;21
Paul Bahn;Alba Berlin;21
Bennett Spree;Baskets Juniors Oldenburg;21
Lukas Wiegeler;UBC Münster;21
Giuliano Aufiero;FC Bayern München;21
Aksel Laso;FC Bayern München;20
Daniel Hinkov;Porsche BBA Ludwigsburg;20
Osaigbovo Idehen Aguebor;Baskets Paderborn;19
Delano Miguel Juma;Niners Chemnitz Academy;19
Finn Stuhlmeyer;Baskets Juniors Oldenburg;19
Jonathan Elzie;Hamburg Towers;19
Tin Udovicic;KICKZ IBAM;19
Eduard Rantz;FC Bayern München;18
Isaiah Javante Batiste;ROTH Energie BBA GIESSEN 46ers;18
Finn-Friedrich Flasche;Alba Berlin;18
Jonas Pohle;Bayer Giants Leverkusen;18
Jack Kayil;Young Rasta Dragons;18
Calin Nita;Bayer Giants Leverkusen;17
Norwin Gumbinger;KICKZ IBAM;17
Leander Nzume;Baskets Juniors Oldenburg;17
Joshua Bonga;Young Rasta Dragons;17
Lennox Groh;UBC Münster;16
Timo Wachsmuth;Bamberg freakcity academy;16
Silver Bieling;KICKZ IBAM;16
Denzel Mota;Bamberg freakcity academy;16
Moritz Grüß;Young Rasta Dragons;16
Timon Hoffmann;Baskets Paderborn;15
Raphael Wöllenstein;ROTH Energie BBA GIESSEN 46ers;15
Didier Alphonse Mbida Mengue;FC Bayern München;15
Darren Egbe;Hamburg Towers;15
Laurenz Wulf;Hamburg Towers;14
Alexander Lehmann;Baskets Paderborn;14
Daniel Obehi Mack;Porsche BBA Ludwigsburg;14
Marko Petric;Young Rasta Dragons;13
Alan Topic Volovec;FC Bayern München;13
Cornelius Meinel;Medipolis SC Jena;13
Luka Pesic;FC Bayern München;13
Leo Kirchhoff;UBC Münster;13
Epke Kruthaup;Young Rasta Dragons;13
Dominic Mack;Porsche BBA Ludwigsburg;13
Julijo Kendes;Team Urspring;13
Stanislav Hinkov;Porsche BBA Ludwigsburg;12
Alen Blakaj;Young Rasta Dragons;12
Jan Jesgarzewski;Eisbären Bremerhaven;12
Martin Kalu;FC Bayern München;12
Dominik Dolic;FC Bayern München;12
David Sann;ROTH Energie BBA GIESSEN 46ers;12
Jericho Richter;Eisbären Bremerhaven;12
Sebastian Kuhn;Porsche BBA Ludwigsburg;12
Christopher Wersien;Eisbären Bremerhaven;12
Noah Palumbo;Bayer Giants Leverkusen;12
Mateja Pivnicki;Team Urspring;12
Angelos Avramidis;Hamburg Towers;11
Leonard Menne;Bayer Giants Leverkusen;11
Liam Gföllner;Alba Berlin;11
Paul Schmorleiz;Alba Berlin;11
Aleksandar Zecevic;Baskets Juniors Oldenburg;10
Gido Nanninga;Baskets Juniors Oldenburg;10
Ivan Kharchenkov;FC Bayern München;10
Danylo Kolesnichenko;Baskets Paderborn;10
Lennart Tröppner;Team Urspring;10
Karl Johan Vändra;ROTH Energie BBA GIESSEN 46ers;10
Michel Schillmöller;Young Rasta Dragons;9
Frederik Selzer;Bayer Giants Leverkusen;9
Bruno Jacob Wollmann;ROTH Energie BBA GIESSEN 46ers;9
Till Galler;Team Urspring;9
Noe Baucks;Baskets Paderborn;9
Jonas Groß;Young Rasta Dragons;9
Paul Manuel Raabe;Alba Berlin;8
Leopold Schmidt;Medipolis SC Jena;8
Jan Dübener;Bayer Giants Leverkusen;8
