Name;Team;Steals
Lukas Modic;Porsche BBA Ludwigsburg;37
Simon Kohlhoff;Baskets Juniors Oldenburg;35
Anton Meyer;Eisbären Bremerhaven;33
Nelson Martin;Hamburg Towers;33
Lars Kremer;Bayer Giants Leverkusen;33
Matija Milosevic;KICKZ IBAM;32
Martin Geuther;Medipolis SC Jena;31
Johann Helwig;Baskets Juniors Oldenburg;31
Jannis Ridder;Baskets Paderborn;30
Leon Anbinder;Baskets Paderborn;28
Karl Bühner;Young Rasta Dragons;28
Noé Bom;Hamburg Towers;27
Detwan Andrews;ROTH Energie BBA GIESSEN 46ers;27
Till Heyne;ROTH Energie BBA GIESSEN 46ers;26
Jared Grey;Team Urspring;25
Ben-Luca Port;Baskets Paderborn;25
Thore Dilschmann;UBC Münster;25
Sebastian Schwachhofer;Porsche BBA Ludwigsburg;25
Dre Odeh;Bayer Giants Leverkusen;23
Julis Baumer;Porsche BBA Ludwigsburg;22
Philip Schneck;Team Urspring;22
Nikolas Sermpezis;FC Bayern München;21
Dorian Grosber;Alba Berlin;20
Darren Egbe;Hamburg Towers;20
Viktor Ludviksson;UBC Münster;19
Finn Schwaiger;Medipolis SC Jena;19
Desmond Yiamu;FC Bayern München;19
Noah Koch;Young Rasta Dragons;19
Kristian Ortelli;Bamberg freakcity academy;19
Justus Waller;Hamburg Towers;19
Jorke Aav;Team Urspring;19
Moek Icke;Porsche BBA Ludwigsburg;18
Marko Masic;Porsche BBA Ludwigsburg;18
Jonathan Paul Zeisberger;KICKZ IBAM;18
Linus Trettin;Young Rasta Dragons;18
Travis Davis;Porsche BBA Ludwigsburg;17
Luca Kellig;Niners Chemnitz Academy;17
Mats Niggemann;UBC Münster;17
Jakob Lang;Medipolis SC Jena;17
Tom Brüggemann;Baskets Paderborn;17
Damarae Osazuwa Simson;Eisbären Bremerhaven;17
Amon Levi Dörries;Alba Berlin;16
Jeremy Julian Kolev;KICKZ IBAM;16
Bennett Spree;Baskets Juniors Oldenburg;16
Jannis Grußendorf;FC Bayern München;16
Jack Kayil;Young Rasta Dragons;16
Igor Jokic;Baskets Juniors Oldenburg;16
Djairo Bernardina;Young Rasta Dragons;16
Raphael Falkenthal;Medipolis SC Jena;15
Felix Zacharias;Niners Chemnitz Academy;15
Anton Nufer;Alba Berlin;15
Aksel Laso;FC Bayern München;15
Lazar Klaric;Baskets Juniors Oldenburg;15
David Koch;Bayer Giants Leverkusen;15
Yannis Steger;Bayer Giants Leverkusen;15
Jonah Lindemann;Eisbären Bremerhaven;15
Jenö Pildner;Team Urspring;15
Nevio Bennefeld;Alba Berlin;14
Pablo Estelle;Team Urspring;14
Noah Slingerland;Baskets Juniors Oldenburg;14
Johannes Hellmann;Young Rasta Dragons;14
Hendrik Metsa;Medipolis SC Jena;14
Lennard Glowka;Niners Chemnitz Academy;14
Jeremey Jason Wontroba;Bayer Giants Leverkusen;14
Benjamin Jeß;Hamburg Towers;13
Radouan Aberkane;Eisbären Bremerhaven;13
Tim Schnelle;Bayer Giants Leverkusen;13
Callum Macaulay;Team Urspring;13
Lennox Groh;UBC Münster;12
Tim Otto;Medipolis SC Jena;12
Paul Bahn;Alba Berlin;12
Matteo Petters;FC Bayern München;12
Mika Kröner;Bamberg freakcity academy;12
Cheikh Oumar Doucoure;Hamburg Towers;12
Moritz Grüß;Young Rasta Dragons;12
Christian Mann;ROTH Energie BBA GIESSEN 46ers;12
Colin Schroeder;Baskets Juniors Oldenburg;11
Fynn Thure Benzel;Medipolis SC Jena;11
Miran Evin;Baskets Juniors Oldenburg;11
Ognjen Cocic;KICKZ IBAM;11
Neo Krizanovic;Bamberg freakcity academy;11
Oskar Humpert;UBC Münster;11
Colin Hartig;Niners Chemnitz Academy;11
Finn Paris;Baskets Paderborn;11
Epke Kruthaup;Young Rasta Dragons;10
Alexander Vourliotis;Eisbären Bremerhaven;10
Benjamin Koppke;Niners Chemnitz Academy;10
Alfred Milatz;Niners Chemnitz Academy;10
Armin Durakovic;ROTH Energie BBA GIESSEN 46ers;10
Tin Udovicic;KICKZ IBAM;10
Ivan Volf;FC Bayern München;10
Jannis Rümer;Bamberg freakcity academy;10
Niels Dübener;Bayer Giants Leverkusen;10
Danas Kazakevicius;Bamberg freakcity academy;10
Maximilian zur Linde;Baskets Paderborn;10
Joshua Sievers;UBC Münster;10
Johann Grau;Medipolis SC Jena;10
Abdulhay Kömürkara;Porsche BBA Ludwigsburg;9
Christopher Wersien;Eisbären Bremerhaven;9
Tim Nocke;Baskets Juniors Oldenburg;9
Edwin Krzeminski;Niners Chemnitz Academy;9
Esli Edigin;Porsche BBA Ludwigsburg;9
Leon Amadou Geißler;Team Urspring;9
Paul Manuel Raabe;Alba Berlin;9
Michel Schillmöller;Young Rasta Dragons;9
Joshua Bonga;Young Rasta Dragons;9
Yannick Mogalle;Bamberg freakcity academy;8
Caspar Chima Okoro;KICKZ IBAM;8
Leonard Jan Gausa;Hamburg Towers;8
Nicola Schultze;Alba Berlin;8
Jayden Estrus Jr. Fatnassi;Hamburg Towers;8
Jonas Pohle;Bayer Giants Leverkusen;8
Daniel Biel;Medipolis SC Jena;8
Giuliano Aufiero;FC Bayern München;8
Luca May;Medipolis SC Jena;8
Raphael Wöllenstein;ROTH Energie BBA GIESSEN 46ers;7
Dominik Dolic;FC Bayern München;7
Maxwell Revell;Eisbären Bremerhaven;7
Jordan Knacke;KICKZ IBAM;7
Olisaemeka Williams Itumo;KICKZ IBAM;7
Mika Tangermann;Hamburg Towers;7
Silver Bieling;KICKZ IBAM;7
Noah Palumbo;Bayer Giants Leverkusen;7
Linus Ruf;Alba Berlin;7
Leo Kirchhoff;UBC Münster;7
Tim-Felix Bühren;Young Rasta Dragons;7
Delano Miguel Juma;Niners Chemnitz Academy;7
Max Emil Weber;Baskets Paderborn;7
David Sann;ROTH Energie BBA GIESSEN 46ers;7
Bruno Jacob Wollmann;ROTH Energie BBA GIESSEN 46ers;6
Joshua William Greene;FC Bayern München;6
Lukas Mutter;Alba Berlin;6
Julijo Kendes;Team Urspring;6
Finn-Friedrich Flasche;Alba Berlin;6
Noah Liem;UBC Münster;6
Angelos Avramidis;Hamburg Towers;6
Noe Baucks;Baskets Paderborn;6
Denzel Mota;Bamberg freakcity academy;6
Lukas Wiegeler;UBC Münster;6
Leander Nzume;Baskets Juniors Oldenburg;6
Jonas Groß;Young Rasta Dragons;6
Mathéo Hermann;Alba Berlin;6
Laurenz Wulf;Hamburg Towers;6
Daniel Hinkov;Porsche BBA Ludwigsburg;6
Calin Nita;Bayer Giants Leverkusen;6
Leo Hylla;Alba Berlin;5
Eren Simbil;Alba Berlin;5
Stanislav Hinkov;Porsche BBA Ludwigsburg;5
