Name;Team;Points
Matija Milosevic;KICKZ IBAM;298
Luca Kellig;Niners Chemnitz Academy;
Till Heyne;ROTH Energie BBA GIESSEN 46ers;
Thore Dilschmann;UBC Münster;
Danas Kazakevicius;Bamberg freakcity academy;
Ben-Luca Port;Baskets Paderborn;
Oskar Humpert;UBC Münster;
Nikolas Sermpezis;FC Bayern München;
Jakob Lang;Medipolis SC Jena;
Viktor Ludviksson;UBC Münster;
David Koch;Bayer Giants Leverkusen;
Lennard Glowka;Niners Chemnitz Academy;
Christian Mann;ROTH Energie BBA GIESSEN 46ers;
Jannis Ridder;Baskets Paderborn;
Anton Meyer;Eisbären Bremerhaven;
Detwan Andrews;ROTH Energie BBA GIESSEN 46ers;
Kristian Ortelli;Bamberg freakcity academy;
Jared Grey;Team Urspring;
Leon Anbinder;Baskets Paderborn;
Jorke Aav;Team Urspring;
Jeremey Jason Wontroba;Bayer Giants Leverkusen;
Karl Bühner;Young Rasta Dragons;
Hendrik Metsa;Medipolis SC Jena;
Amon Levi Dörries;Alba Berlin;
Lars Kremer;Bayer Giants Leverkusen;
Miran Evin;Baskets Juniors Oldenburg;
Jonathan Paul Zeisberger;KICKZ IBAM;
Jannis Rümer;Bamberg freakcity academy;
Benjamin Jeß;Hamburg Towers;
Simon Kohlhoff;Baskets Juniors Oldenburg;
Abdulhay Kömürkara;Porsche BBA Ludwigsburg;
Desmond Yiamu;FC Bayern München;
Benjamin Koppke;Niners Chemnitz Academy;
Lukas Modic;Porsche BBA Ludwigsburg;
Moek Icke;Porsche BBA Ludwigsburg;
Linus Trettin;Young Rasta Dragons;
Travis Davis;Porsche BBA Ludwigsburg;
Olisaemeka Williams Itumo;KICKZ IBAM;
Nelson Martin;Hamburg Towers;
Kai Müsse;ROTH Energie BBA GIESSEN 46ers;
Sebastian Schwachhofer;Porsche BBA Ludwigsburg;
Tim Otto;Medipolis SC Jena;
Colin Schroeder;Baskets Juniors Oldenburg;
Johann Grau;Medipolis SC Jena;
Marko Masic;Porsche BBA Ludwigsburg;
Luca von Thun;Eisbären Bremerhaven;
Leonhard Laar;Team Urspring;
Anton Nufer;Alba Berlin;
Noé Bom;Hamburg Towers;
Igor Jokic;Baskets Juniors Oldenburg;
